,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,CSI,TT (Sec)
dt,Decision Tree Classifier,0.9736,0.5479,0.1099,0.1012,0.1048,0.0915,0.0918,0.0554,0.034
xgboost,Extreme Gradient Boosting,0.9857,0.7424,0.0588,0.445,0.103,0.1,0.1563,0.055,0.027
gbc,Gradient Boosting Classifier,0.9845,0.7797,0.0563,0.245,0.0906,0.0861,0.1109,0.0479,0.58
catboost,CatBoost Classifier,0.9858,0.7514,0.0489,0.3888,0.0861,0.0836,0.1328,0.0457,1.144
nb,Naive Bayes,0.981,0.7101,0.0634,0.1236,0.0831,0.0747,0.0792,0.0445,0.006
qda,Quadratic Discriminant Analysis,0.9832,0.7107,0.0512,0.1574,0.0763,0.0703,0.082,0.041,0.008
lda,Linear Discriminant Analysis,0.985,0.7073,0.0439,0.2125,0.072,0.0686,0.0909,0.0392,0.007
lightgbm,Light Gradient Boosting Machine,0.9855,0.7562,0.0416,0.3251,0.0732,0.0705,0.1114,0.0384,0.479
et,Extra Trees Classifier,0.9862,0.7183,0.0269,0.5017,0.0499,0.049,0.1081,0.0263,0.117
mlp,MLP Classifier,0.986,0.7377,0.0268,0.3917,0.0497,0.0483,0.0988,0.026,0.35
rf,Random Forest Classifier,0.9861,0.738,0.0195,0.55,0.0373,0.0365,0.0991,0.0192,0.53
lr,Logistic Regression,0.9859,0.707,0.0122,0.2333,0.0229,0.0221,0.05,0.0121,0.29
knn,K Neighbors Classifier,0.9856,0.5914,0.0122,0.2167,0.0227,0.0213,0.0465,0.0119,0.286
ada,Ada Boost Classifier,0.9859,0.755,0.0073,0.2333,0.0141,0.0134,0.0387,0.0072,0.131
svm,SVM - Linear Kernel,0.9859,0.512,0.0049,0.1,0.0093,0.0089,0.021,0.0049,0.007
ridge,Ridge Classifier,0.986,0.7073,0.0049,0.2,0.0095,0.0093,0.0306,0.0049,0.006
dummy,Dummy Classifier,0.986,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.005
