,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,CSI,TT (Sec)
catboost,CatBoost Classifier,0.8619,0.9004,0.6165,0.8414,0.7115,0.6236,0.6366,0.5523,6.903
xgboost,Extreme Gradient Boosting,0.8599,0.8976,0.6158,0.8338,0.7084,0.619,0.6313,0.5485,0.418
et,Extra Trees Classifier,0.8603,0.8986,0.6029,0.8476,0.7046,0.6165,0.6319,0.5439,3.026
rf,Random Forest Classifier,0.8566,0.8912,0.5953,0.8388,0.6964,0.606,0.6213,0.5342,9.626
lightgbm,Light Gradient Boosting Machine,0.8514,0.8827,0.5818,0.8294,0.6839,0.5906,0.6065,0.5196,0.737
mlp,MLP Classifier,0.8476,0.8756,0.5796,0.8158,0.6775,0.5814,0.5961,0.5123,5.255
knn,K Neighbors Classifier,0.8383,0.8446,0.6075,0.7593,0.675,0.5691,0.5754,0.5094,2.528
gbc,Gradient Boosting Classifier,0.8404,0.8626,0.5324,0.829,0.6484,0.5514,0.574,0.4797,7.511
ada,Ada Boost Classifier,0.8329,0.8474,0.5174,0.8093,0.6312,0.5299,0.5521,0.4611,1.581
dt,Decision Tree Classifier,0.7893,0.7401,0.6302,0.6162,0.6231,0.4769,0.477,0.4525,0.483
lr,Logistic Regression,0.8223,0.8155,0.4652,0.8112,0.5913,0.4882,0.519,0.4198,0.069
lda,Linear Discriminant Analysis,0.8185,0.8156,0.4152,0.852,0.5583,0.4607,0.5079,0.3873,0.046
qda,Quadratic Discriminant Analysis,0.8051,0.7902,0.4338,0.7575,0.5516,0.4387,0.4665,0.3809,0.293
nb,Naive Bayes,0.8013,0.7922,0.4417,0.733,0.5512,0.4335,0.4565,0.3805,0.045
ridge,Ridge Classifier,0.8163,0.8156,0.3937,0.871,0.5422,0.4471,0.5024,0.372,0.077
svm,SVM - Linear Kernel,0.8161,0.8129,0.3875,0.88,0.5379,0.444,0.5023,0.368,0.087
dummy,Dummy Classifier,0.7237,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.157
